ds,yhat,yhat_lower,yhat_upper
2014-01-31,345.5142214728503,-5114.51501306316,5283.642726510996
2014-02-28,1323.7814295192456,-4240.951543229133,6897.81793318364
2014-03-31,5187.0351788913,41.68917113841292,10311.320616500407
2014-04-30,5833.503959487147,388.6936874133297,11165.41243611856
2014-05-31,6626.025857667405,859.3617893046004,12188.5509864632
2014-06-30,8185.858820639438,2772.5912045821387,13516.518195832394
2014-07-31,6591.550251114806,1128.2796597681695,12095.043689489241
2014-08-31,7328.762001284518,1641.2295833507599,12360.42071797545
2014-09-30,24641.74742435402,19601.581959077193,29935.278519867363
2014-10-31,9674.881033055868,4271.290766775998,14860.196537100384
2014-11-30,31897.192032872335,26370.792301268593,37597.42982281541
2014-12-31,20666.10804335816,15263.94754684529,25964.84692371995
2015-01-31,2704.5803442948336,-2642.6473240055075,8171.803982206804
2015-02-28,5703.604121859047,250.00952549677075,10953.68176689172
2015-03-31,6416.433066817837,1198.0830897939775,12124.4416621822
2015-04-30,7190.134336892716,1297.6832114443987,12527.235794937333
2015-05-31,7386.646745959861,1941.6797041119064,12984.619213981317
2015-06-30,11263.108905753526,6036.822560072049,16399.238349691073
2015-07-31,10774.270840939347,5319.431480665528,16706.57957349538
2015-08-31,9071.80130891787,3622.518039017638,14705.94891838455
2015-09-30,29222.458583677628,24018.19334664192,34275.8961612494
2015-10-31,6858.8896260309475,1628.3674482553738,12115.460308243586
2015-11-30,36323.90969586723,30762.943368342665,41691.68743087539
2015-12-31,22626.667335328377,17284.88904117413,27894.493843977736
2016-01-31,5097.160111656703,-509.14116891005574,10307.242240198964
2016-02-29,1646.756444401024,-3706.3341542867356,7124.545469712917
2016-03-31,11730.485318675786,6251.848226120752,16867.450482877422
2016-04-30,12254.585287459555,7255.168935506442,17915.81596193638
2016-05-31,14373.092159085025,9069.417796476879,19851.36183426845
2016-06-30,11362.019439478412,5974.500867635871,16697.188295619984
2016-07-31,7385.794861766614,1988.7090433175106,12677.354233629647
2016-08-31,12970.930816239472,7408.333628049169,18320.871264347108
2016-09-30,24422.795275153047,18879.130223735752,29878.618710783336
2016-10-31,24454.570565370836,19216.89840190555,29830.479998154064
2016-11-30,32373.866296896773,27263.54806305903,37715.99886443683
2016-12-31,25918.536868098236,20778.4019306866,31322.624035562243
2017-01-31,7187.000247668183,1962.1702334112456,12425.169768916576
2017-02-28,6081.8773698519235,520.4526697130248,11096.733728102316
2017-03-31,13069.899782283897,7430.136972444688,18608.689414166936
2017-04-30,13633.604067141996,8186.237414259524,19371.997754184937
2017-05-31,15066.910570354654,9723.543945376545,20183.738069482235
2017-06-30,14329.954104283122,8671.644066707791,19472.33093852164
2017-07-31,11572.79426097308,5930.342239103731,17079.67076748617
2017-08-31,14739.851028300018,9356.000608981889,20005.3247021235
2017-09-30,29153.1467322854,24207.6074211096,34369.732222608654
2017-10-31,21653.50962054975,15966.161162677254,27272.48491980608
2017-11-30,36692.003045538084,31431.48886265628,42443.40859060571
2017-12-31,27875.27586295524,22336.24550839123,33497.741816940856
2018-01-31,9512.950512386124,3519.9421318346867,14803.75015149736
2018-02-28,10491.287634381903,5200.7422518076455,15974.233121141691
2018-03-31,14354.618788478234,8654.974989619948,19830.171086556955
2018-04-30,15001.162476867292,9500.859659792737,20555.280788091775
2018-05-31,15793.761779776403,10516.830444373052,21592.524922836907
2018-06-30,17353.669650462558,11805.107191043526,22713.658137735758
